userid,uniqueID,gender,age,consumption,shopping,occupation
234,S7787254,0,17,3,2,2
235,L7378443,1,23,3,1,1
236,T7049862,0,21,2,1,2
237,I9448517,0,25,2,2,1
238,Z7098480,0,23,1,1,1
239,M859306,0,23,3,2,2
240,A7631911,1,21,2,1,2
241,K6744811,0,17,1,3,2
242,H764492,0,17,1,3,2
243,D952228,1,22,1,2,2
244,E7274394,0,16,2,2,1
245,T7074033,0,24,2,3,1
246,@6646994,0,15,1,2,1
247,X7528713,1,16,2,2,1
248,Y7938345,0,21,1,1,2
249,L9037193,1,15,3,2,2
250,A7013986,0,25,1,2,1
251,K9299131,0,18,2,3,2
252,H7062966,1,16,2,3,1
253,J9146638,0,17,2,1,2
254,L6175477,0,17,1,1,2
255,>7589510,1,24,3,1,2
256,<6339700,0,22,2,2,1
257,U7329771,1,18,1,3,2
258,=6071310,1,23,3,1,1
259,V6996154,1,25,1,1,1
260,U7611354,1,23,3,2,2
261,F6879314,0,21,3,2,1
262,?6663007,0,25,2,1,2
263,=6959975,0,17,3,3,2
264,V637066,1,23,1,2,1
265,\7230203,1,19,3,1,2
266,>6095416,0,18,3,1,2
267,B9596702,1,16,3,1,2
268,?6642902,0,23,2,3,1
269,]8191524,0,18,2,1,2
270,K7749409,0,15,1,1,2
271,\613466,0,23,1,1,2
272,U6099323,1,21,2,1,1
273,>812287,0,20,1,2,1
274,E8315060,0,19,2,2,1
275,P8474292,1,16,3,3,2
276,?6426594,1,23,2,2,1
277,E8694329,1,19,1,2,2
278,[7873402,0,22,3,3,2
279,\8562441,1,20,1,1,1
280,L6727807,0,20,3,3,1
281,Q7958030,0,16,1,2,1
282,W8039732,0,19,1,1,2
283,Q9155086,1,18,2,2,2
284,V7430224,0,23,2,2,1
285,P6186773,1,25,1,1,2
286,=7196895,1,17,3,2,1
287,R661667,1,21,2,3,1
288,P6869907,0,19,2,2,1
289,Q9058659,0,24,3,2,1
290,Y8735475,0,19,2,2,1
291,@9335116,0,24,2,1,2
292,<7695740,0,17,1,3,2
293,C6464235,1,19,3,2,1
294,]717242,0,24,1,2,1
295,_6566375,1,21,3,3,2
296,V9033362,0,24,3,1,2
297,A7936836,0,22,2,2,2
298,R657911,1,24,1,3,1
299,N891755,1,21,3,3,1
300,P9146592,1,21,3,3,2
301,D8264971,1,25,1,1,2
302,Z8613929,1,22,1,3,1
303,W9440907,1,22,1,2,2
304,L9590364,1,19,1,3,1
305,_6780117,1,15,1,3,2
306,T6623437,1,16,2,1,2
307,I8354367,1,17,3,1,2
308,H9461897,0,21,1,3,1
309,C816288,1,21,2,3,1
310,P6282858,1,24,2,1,1
311,@6711765,0,20,3,2,1
312,J9432979,0,16,1,2,2
313,N7238958,1,21,2,2,2
314,^8122420,0,17,1,2,1
315,R8644631,1,25,1,1,2
316,C7479904,1,16,1,1,2
317,G9585723,1,16,1,1,2
318,Q8673342,1,18,1,3,2
319,R6570257,0,15,2,3,2
320,O6219853,1,17,3,1,2
321,=8246944,1,16,3,3,2
322,M863225,0,20,2,3,2
323,C6680115,0,24,1,2,1
324,Z7114332,1,18,2,3,1
325,X8450122,1,19,1,2,1
326,F7570130,1,16,3,2,1
327,>7611091,1,19,1,2,2
328,J8515053,0,23,3,1,1
329,W9068714,1,25,3,1,2
330,]7881860,1,18,2,2,2
331,O6262862,0,19,2,1,2
332,W8494793,0,16,2,3,1
333,R7756038,1,19,1,1,1
334,=8928145,1,22,1,3,1
335,<788374,1,24,3,3,1
336,>7139969,0,18,1,2,2
337,X7912703,1,17,1,2,1
338,I7656908,1,22,3,2,1
339,Q9456103,1,15,1,1,1
340,H6068148,0,25,2,2,2
341,G9275695,1,20,1,3,2
342,=6670370,1,20,1,2,1
343,E6778624,0,22,2,1,2
344,G7687472,1,16,3,1,1
345,N6472719,1,22,1,1,1
346,B6032488,0,23,3,1,2
347,K75506,1,22,3,3,2
348,T7118539,0,16,1,3,2
349,V7422496,0,20,1,2,1
350,N817134,1,17,3,1,1
351,T7561471,1,19,3,1,1
352,^8171009,1,25,3,3,1
353,Z7688226,1,16,3,2,1
354,U6780562,1,24,1,3,1
355,@7723635,0,25,3,2,2
356,W7894399,0,15,3,3,1
357,H9297749,0,21,1,3,2
358,P8566592,0,19,2,1,2
359,M6575541,0,19,3,3,2
360,U626470,1,20,3,1,1
361,<6534901,1,21,3,1,1
362,O7545780,0,20,1,2,2
363,X6513876,1,18,1,1,2
364,C9552045,1,25,1,1,2
365,^7286067,1,24,1,2,1
366,<8555978,0,19,3,2,1
367,H6133323,1,24,3,1,1
368,I8350269,1,22,3,2,1
369,G8485700,0,25,2,2,1
370,D8721636,1,23,2,3,2
371,C6752146,0,19,1,2,1
372,<6349989,1,17,3,1,2
373,\8648143,0,25,1,2,1
374,V8792295,0,19,3,3,1
375,P7120679,1,25,1,1,1
376,?9442026,1,21,2,3,1
377,\806331,0,24,2,3,1
378,O7253669,1,19,1,3,2
379,V8723003,0,18,2,1,1
380,D6157131,0,23,3,1,1
381,T9189421,1,22,2,1,2
382,J7872059,1,24,1,1,2
383,Q7674841,0,23,1,2,2
384,F8623418,0,25,3,2,1
385,?6271621,1,15,3,2,1
386,=7248031,1,21,1,2,2
387,^9248413,1,17,2,2,2
388,P7458219,0,25,3,3,2
389,A925005,0,15,2,1,1
390,Y8069720,1,15,1,3,1
391,_9317696,0,23,3,1,1
392,U7632972,1,22,3,3,1
393,M8619946,1,21,1,1,1
394,T9289520,1,15,3,1,2
395,J8615853,1,21,2,2,2
396,^7668091,0,20,3,2,2
397,O6925781,0,22,2,3,2
398,_6583114,1,18,2,1,2
399,L7726074,1,16,3,3,1
400,[6498893,1,20,2,2,2
401,I7480339,0,22,1,1,2
402,<8899435,1,18,2,2,2
403,R9093748,1,18,1,2,1
404,C7990122,0,20,2,2,1
405,G7619546,0,23,2,3,2
406,\6766831,0,21,3,3,2
407,R8048372,0,15,2,3,1
408,U9378350,0,22,2,2,1
409,=6839997,0,21,2,3,2
410,X6586299,0,21,2,3,1
411,?8056364,1,22,3,1,1
412,[8279364,0,20,3,2,1
413,U6820465,1,21,3,2,1
414,F8220509,0,20,3,2,1
415,U7897884,1,19,2,3,1
416,>6915583,0,21,2,2,1
417,\7437171,1,18,1,1,2
418,^9069674,0,22,1,1,2
419,N8260432,0,20,1,3,1
420,<9595733,0,15,1,1,1
421,<8290000,0,15,2,3,2
422,B8023962,0,21,2,3,2
423,?9381621,0,17,2,2,1
424,M6817875,0,19,3,3,1
425,F7096081,1,16,2,3,2
426,B9080956,1,22,1,3,1
427,G7646239,0,20,2,1,1
428,M8158377,1,19,1,1,1
429,C6034982,1,24,2,1,1
430,<9436128,1,21,1,2,1
431,W9046145,1,18,3,1,2
432,U8972032,1,17,3,1,2
433,H6540915,0,20,3,3,1
434,K7570613,1,25,3,3,2
435,V8655837,1,22,1,2,1
436,Z6135857,1,17,2,3,1
437,O8332928,0,22,1,3,1
438,G7298989,1,21,2,1,2
439,R6948643,0,16,3,2,1
440,A9249144,0,22,2,3,1
441,^8952297,0,22,3,2,2
442,K7075813,0,23,1,2,1
443,N7389653,1,25,2,1,1
444,N6233693,0,17,1,3,1
445,D7442910,0,22,1,2,2
446,I7214192,0,21,1,1,1
447,R7085220,1,20,2,1,2
448,_7270525,1,24,1,2,1
449,H9156720,0,19,1,3,2
450,]8828370,0,21,2,3,1
451,E8345884,0,18,1,3,1
452,^6264074,1,23,1,1,1
453,<751140,0,22,3,1,2
454,T8382575,0,15,3,3,2
455,E6933884,0,19,1,3,2
456,B8134058,0,19,2,1,2
457,S7160495,0,21,3,1,2
458,T796471,0,22,3,1,2
459,]7712328,0,18,2,3,1
460,T718733,0,25,2,1,1
461,P9528223,1,21,1,3,2
462,Q8726284,0,23,2,1,2
463,A6194159,1,20,1,1,1
464,R6322295,0,22,2,1,1
465,R8068261,0,25,1,1,2
466,E8760392,0,23,1,2,2
467,]946482,0,15,1,3,1
468,=669830,0,15,3,3,1
469,>9399790,0,20,2,2,2
470,[8831330,0,19,1,2,1
471,R8232437,1,24,2,2,2
472,L7541884,1,25,3,3,1
473,X7749245,1,15,3,1,1
474,^8366007,1,20,3,1,1
475,<7082905,1,23,3,2,2
476,@6050706,1,16,1,1,2
477,<7455814,0,19,2,3,1
478,V6381219,0,25,2,3,1
479,F9362671,1,23,2,3,2
480,>6466417,1,25,3,3,2
481,Z8739874,0,15,3,2,1
482,Y9084936,0,23,3,2,2
483,S8453517,0,24,3,2,2
484,P8910777,0,16,2,2,1
485,Q7649682,1,17,2,1,2
486,]7870954,1,17,1,1,2
487,G6323151,0,21,2,2,1
488,D8281035,1,20,1,1,1
489,U8496688,0,22,3,1,1
490,A7236807,1,18,1,3,2
491,\8689500,1,19,1,3,2
492,F625313,0,20,1,2,2
493,V6464554,1,24,3,2,2
494,U6218906,0,21,2,3,1
495,=9328627,1,17,3,2,2
496,P8051924,0,16,3,3,2
497,T6538289,1,23,1,2,2
498,?7211609,1,15,3,2,2
499,P911915,0,22,3,2,2
500,J8946597,0,25,1,2,1
501,<6446651,1,17,3,1,1
502,W7618687,0,17,1,1,1
503,G617780,0,17,3,3,2
504,J8168490,0,25,3,3,2
505,[9038928,1,19,2,3,2
506,K9077576,1,19,1,1,2
507,P6818148,1,19,2,2,2
508,H6085960,1,15,1,2,2
509,Z8232249,1,20,2,3,2
510,P7997666,0,22,1,1,1
511,<6156528,0,21,1,1,1
512,E7931898,1,19,2,2,1
513,K7064429,1,19,3,2,1
514,M8063418,0,18,1,1,1
515,O712150,0,23,1,1,1
516,Z6922663,0,16,1,3,1
517,S8569760,1,19,1,3,2
518,N6873841,0,18,2,3,2
519,L8866143,1,16,2,3,1
520,<9286818,1,25,3,3,1
521,L8162190,1,23,1,1,2
522,P8518491,0,23,1,3,2
523,?9085432,1,21,1,3,2
524,J9489733,1,18,2,3,1
525,]8062942,1,16,3,1,1
526,?7927231,0,15,1,3,1
527,Y787206,0,21,3,3,1
528,A9221197,0,17,1,2,2
529,Z6844807,0,19,1,3,2
530,\8681481,1,23,3,2,1
531,M766438,1,19,2,2,1
532,X9353902,1,25,1,1,2
533,N9085862,0,23,2,3,1
534,Y7528953,1,22,3,3,2
535,Z6977625,1,22,1,1,1
536,]7579667,0,17,2,2,2
537,Y8531021,1,16,3,3,1
538,I7111630,1,24,1,3,2
539,H6375303,0,19,2,3,1
540,>8387299,1,23,1,3,1
541,N7146903,0,22,1,2,1
542,N9293810,0,18,1,3,2
543,?6747797,0,22,3,3,1
544,@8266753,1,19,2,3,1
545,Q7332480,1,23,3,2,1
546,X6760142,0,18,1,1,1
547,_7912663,1,21,2,1,1
548,L7299688,1,16,2,2,2
549,C871689,0,17,1,3,1
550,G7348502,0,21,3,3,2
551,?7658081,0,23,2,2,1
552,S6534637,1,19,1,2,2
553,D8299965,1,25,3,2,2
554,X6789139,1,19,1,3,2
555,=9428081,1,20,2,2,2
