userid,gender,age,consumption level,shopping level, occupation level,ad1,ad2,ad3,ad4,ad5,CTR VALUE
234,0,19,2,3,1,1,1,0,1,1,4
235,0,22,3,2,2,0,0,0,0,0,0
236,0,19,2,2,1,0,1,0,0,0,1
237,0,20,1,1,2,0,0,0,1,0,1
238,0,22,1,3,2,1,0,0,0,1,2
239,0,25,2,2,1,1,0,1,0,1,3
240,0,17,3,1,1,0,1,1,1,0,3
241,1,22,3,1,1,0,1,1,0,1,3
242,1,22,1,2,1,1,1,0,1,0,3
243,0,23,1,1,1,1,1,0,0,0,2
244,0,23,2,2,1,1,0,0,0,1,2
245,0,22,1,3,1,0,1,1,1,0,3
246,1,19,3,2,2,0,0,0,1,1,2
247,0,25,2,3,2,0,0,1,0,1,2
248,1,22,2,2,1,0,1,1,1,1,4
249,1,24,3,1,2,1,0,1,1,0,3
250,0,22,3,3,2,0,1,0,0,1,2
251,0,18,3,1,2,0,0,1,0,0,1
252,0,16,1,1,1,1,0,0,1,0,2
253,0,18,3,2,2,1,1,0,1,1,4
254,1,25,2,2,1,1,1,1,0,1,4
255,1,22,1,1,1,1,1,1,1,0,4
256,0,24,2,2,2,0,1,1,1,0,3
257,0,19,3,3,1,0,1,0,1,0,2
258,1,17,2,1,1,1,0,1,1,0,3
259,0,19,1,1,2,1,1,0,0,1,3
260,0,24,3,2,2,0,0,1,1,1,3
261,0,18,2,2,2,0,1,0,0,0,1
262,0,23,1,2,2,0,0,1,1,0,2
263,1,16,2,3,1,1,0,0,0,0,1
264,1,25,2,1,2,1,0,0,0,1,2
265,0,15,2,1,1,1,1,0,0,1,3
266,1,17,2,3,2,0,1,0,1,0,2
267,1,15,2,2,1,1,1,1,0,1,4
268,1,22,1,2,2,1,1,1,0,1,4
269,0,24,2,3,2,1,1,0,1,1,4
270,1,15,1,1,2,0,1,0,1,1,3
271,0,18,3,1,2,1,1,0,0,1,3
272,0,23,3,1,1,1,1,0,0,1,3
273,0,23,2,3,1,0,1,0,1,0,2
274,0,24,1,1,1,0,1,1,0,0,2
275,0,16,3,2,1,0,0,0,0,0,0
276,0,24,1,1,1,0,0,0,0,1,1
277,1,22,3,2,1,0,1,1,0,1,3
278,1,17,1,3,2,0,0,0,0,0,0
279,1,15,1,1,1,1,1,1,0,1,4
280,1,17,2,3,1,0,1,0,1,0,2
281,1,22,2,1,1,0,1,0,0,1,2
282,0,19,3,3,2,1,0,1,1,1,4
283,0,15,2,3,1,0,1,1,1,0,3
284,1,15,1,1,1,1,1,1,0,1,4
285,1,15,3,3,1,0,0,1,0,1,2
286,1,17,3,2,2,1,0,0,0,0,1
287,1,15,2,2,1,1,1,1,0,0,3
288,0,16,2,3,2,1,1,0,0,0,2
289,1,22,2,2,2,0,0,0,1,1,2
290,1,19,3,2,1,1,0,0,0,0,1
291,0,21,2,3,1,1,0,0,1,1,3
292,1,18,2,2,1,1,1,1,0,0,3
293,1,22,3,3,1,0,0,1,0,0,1
294,0,18,2,1,2,0,1,0,1,1,3
295,0,16,3,3,2,1,0,1,0,1,3
296,0,17,3,3,2,1,0,0,0,1,2
297,1,24,2,1,1,0,1,1,0,0,2
298,0,23,3,2,2,0,0,1,1,1,3
299,1,21,3,2,1,0,1,1,1,0,3
300,0,17,2,1,2,0,0,0,1,0,1
301,1,23,2,2,2,0,1,1,1,0,3
302,0,20,3,3,2,1,0,1,1,0,3
303,1,18,3,2,2,1,1,1,0,1,4
304,1,18,1,2,1,1,1,1,1,1,5
305,0,25,1,2,1,1,1,1,1,1,5
306,0,15,1,3,1,0,1,1,1,1,4
307,1,25,2,2,2,0,0,0,1,1,2
308,1,18,3,2,2,1,0,0,0,0,1
309,1,18,1,1,1,1,1,1,0,0,3
310,0,22,3,2,1,0,1,0,0,1,2
311,0,17,3,2,1,0,0,1,1,1,3
312,0,24,1,1,1,0,0,0,0,1,1
313,0,23,2,1,2,1,1,0,0,0,2
314,0,22,2,1,1,0,1,1,1,1,4
315,0,22,1,3,1,1,0,0,0,0,1
316,1,19,1,1,2,0,0,1,1,0,2
317,1,17,2,3,2,1,0,0,1,0,2
318,0,19,3,1,2,1,1,1,1,0,4
319,0,19,2,1,2,0,1,1,1,0,3
320,1,19,1,1,1,0,1,1,0,1,3
321,1,25,2,2,1,0,0,0,1,0,1
322,1,23,1,1,2,1,0,1,0,1,3
323,1,23,2,3,1,0,1,1,0,0,2
324,1,16,3,1,2,0,1,0,0,0,1
325,0,21,1,2,2,0,1,0,1,0,2
326,1,21,2,3,1,1,0,1,1,1,4
327,0,22,2,3,1,1,0,0,0,0,1
328,0,15,1,2,1,0,1,1,1,1,4
329,1,23,3,2,2,0,1,0,1,0,2
330,1,16,2,1,2,1,1,1,1,0,4
331,1,17,3,2,2,1,0,0,1,1,3
332,1,22,1,1,2,1,1,0,0,1,3
333,1,25,1,1,1,0,1,1,1,1,4
334,1,23,1,1,1,0,0,0,1,1,2
